,exterior_2nd_asphshn,exterior_2nd_brk cmn,exterior_2nd_brkface,exterior_2nd_cblock,exterior_2nd_cmentbd,exterior_2nd_hdboard,exterior_2nd_imstucc,exterior_2nd_metalsd,exterior_2nd_plywood,exterior_2nd_stone,exterior_2nd_stucco,exterior_2nd_vinylsd,exterior_2nd_wd sdng,exterior_2nd_wd shng,mas_vnr_type_brkcmn,mas_vnr_type_brkface,mas_vnr_type_none,mas_vnr_type_stone,exter_qual_fa,exter_qual_gd,exter_qual_ta,foundation_cblock,foundation_pconc,foundation_slab,foundation_stone,foundation_wood,bsmt_exposure_av,bsmt_exposure_gd,bsmt_exposure_mn,bsmt_exposure_no,bsmtfin_type_1_alq,bsmtfin_type_1_blq,bsmtfin_type_1_glq,bsmtfin_type_1_lwq,bsmtfin_type_1_rec,bsmtfin_type_1_unf,heating_qc_fa,heating_qc_gd,heating_qc_po,heating_qc_ta,kitchen_qual_fa,kitchen_qual_gd,kitchen_qual_ta,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_noridge,neighborhood_npkvill,neighborhood_nridght,neighborhood_nwames,neighborhood_oldtown,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_swisu,neighborhood_timber,neighborhood_veenker,bldg_type_2fmcon,bldg_type_duplex,bldg_type_twnhs,bldg_type_twnhse,house_style_1.5unf,house_style_1story,house_style_2.5fin,house_style_2.5unf,house_style_2story,house_style_sfoyer,house_style_slvl,exterior_1st_asphshn,exterior_1st_brkcomm,exterior_1st_brkface,exterior_1st_cblock,exterior_1st_cemntbd,exterior_1st_hdboard,exterior_1st_imstucc,exterior_1st_metalsd,exterior_1st_plywood,exterior_1st_stone,exterior_1st_stucco,exterior_1st_vinylsd,exterior_1st_wd sdng,exterior_1st_wdshing,garage_finish_fin,garage_finish_rfn,garage_finish_unf,garage_type_2types,garage_type_attchd,garage_type_basment,garage_type_builtin,garage_type_carport,garage_type_detchd,fireplace_qu_fa,fireplace_qu_gd,fireplace_qu_none,fireplace_qu_po,fireplace_qu_ta,saleprice,overall_qual,gr_liv_area,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_built,year_remod/add,garage_yr_blt,full_bath,overall_qual^2,overall_qual gr_liv_area,overall_qual garage_area,overall_qual garage_cars,overall_qual total_bsmt_sf,overall_qual 1st_flr_sf,overall_qual year_built,overall_qual year_remod/add,overall_qual garage_yr_blt,overall_qual full_bath,gr_liv_area^2,gr_liv_area garage_area,gr_liv_area garage_cars,gr_liv_area total_bsmt_sf,gr_liv_area 1st_flr_sf,gr_liv_area year_built,gr_liv_area year_remod/add,gr_liv_area garage_yr_blt,gr_liv_area full_bath,garage_area^2,garage_area garage_cars,garage_area total_bsmt_sf,garage_area 1st_flr_sf,garage_area year_built,garage_area year_remod/add,garage_area garage_yr_blt,garage_area full_bath,garage_cars^2,garage_cars total_bsmt_sf,garage_cars 1st_flr_sf,garage_cars year_built,garage_cars year_remod/add,garage_cars garage_yr_blt,garage_cars full_bath,total_bsmt_sf^2,total_bsmt_sf 1st_flr_sf,total_bsmt_sf year_built,total_bsmt_sf year_remod/add,total_bsmt_sf garage_yr_blt,total_bsmt_sf full_bath,1st_flr_sf^2,1st_flr_sf year_built,1st_flr_sf year_remod/add,1st_flr_sf garage_yr_blt,1st_flr_sf full_bath,year_built^2,year_built year_remod/add,year_built garage_yr_blt,year_built full_bath,year_remod/add^2,year_remod/add garage_yr_blt,year_remod/add full_bath,garage_yr_blt^2,garage_yr_blt full_bath,full_bath^2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,130500,6.0,1479.0,475.0,2.0,725.0,725.0,1976.0,2005.0,1976.0,2.0,36.0,8874.0,2850.0,12.0,4350.0,4350.0,11856.0,12030.0,11856.0,12.0,2187441.0,702525.0,2958.0,1072275.0,1072275.0,2922504.0,2965395.0,2922504.0,2958.0,225625.0,950.0,344375.0,344375.0,938600.0,952375.0,938600.0,950.0,4.0,1450.0,1450.0,3952.0,4010.0,3952.0,4.0,525625.0,525625.0,1432600.0,1453625.0,1432600.0,1450.0,525625.0,1432600.0,1453625.0,1432600.0,1450.0,3904576.0,3961880.0,3904576.0,3952.0,4020025.0,3961880.0,4010.0,3904576.0,3952.0,4.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,220000,7.0,2122.0,559.0,2.0,913.0,913.0,1996.0,1997.0,1997.0,2.0,49.0,14854.0,3913.0,14.0,6391.0,6391.0,13972.0,13979.0,13979.0,14.0,4502884.0,1186198.0,4244.0,1937386.0,1937386.0,4235512.0,4237634.0,4237634.0,4244.0,312481.0,1118.0,510367.0,510367.0,1115764.0,1116323.0,1116323.0,1118.0,4.0,1826.0,1826.0,3992.0,3994.0,3994.0,4.0,833569.0,833569.0,1822348.0,1823261.0,1823261.0,1826.0,833569.0,1822348.0,1823261.0,1823261.0,1826.0,3984016.0,3986012.0,3986012.0,3992.0,3988009.0,3988009.0,3994.0,3988009.0,3994.0,4.0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,109000,5.0,1057.0,246.0,1.0,1057.0,1057.0,1953.0,2007.0,1953.0,1.0,25.0,5285.0,1230.0,5.0,5285.0,5285.0,9765.0,10035.0,9765.0,5.0,1117249.0,260022.0,1057.0,1117249.0,1117249.0,2064321.0,2121399.0,2064321.0,1057.0,60516.0,246.0,260022.0,260022.0,480438.0,493722.0,480438.0,246.0,1.0,1057.0,1057.0,1953.0,2007.0,1953.0,1.0,1117249.0,1117249.0,2064321.0,2121399.0,2064321.0,1057.0,1117249.0,2064321.0,2121399.0,2064321.0,1057.0,3814209.0,3919671.0,3814209.0,1953.0,4028049.0,3919671.0,2007.0,3814209.0,1953.0,1.0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,174000,5.0,1444.0,400.0,2.0,384.0,744.0,2006.0,2007.0,2007.0,2.0,25.0,7220.0,2000.0,10.0,1920.0,3720.0,10030.0,10035.0,10035.0,10.0,2085136.0,577600.0,2888.0,554496.0,1074336.0,2896664.0,2898108.0,2898108.0,2888.0,160000.0,800.0,153600.0,297600.0,802400.0,802800.0,802800.0,800.0,4.0,768.0,1488.0,4012.0,4014.0,4014.0,4.0,147456.0,285696.0,770304.0,770688.0,770688.0,768.0,553536.0,1492464.0,1493208.0,1493208.0,1488.0,4024036.0,4026042.0,4026042.0,4012.0,4028049.0,4028049.0,4014.0,4028049.0,4014.0,4.0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,138500,6.0,1445.0,484.0,2.0,676.0,831.0,1900.0,1993.0,1957.0,2.0,36.0,8670.0,2904.0,12.0,4056.0,4986.0,11400.0,11958.0,11742.0,12.0,2088025.0,699380.0,2890.0,976820.0,1200795.0,2745500.0,2879885.0,2827865.0,2890.0,234256.0,968.0,327184.0,402204.0,919600.0,964612.0,947188.0,968.0,4.0,1352.0,1662.0,3800.0,3986.0,3914.0,4.0,456976.0,561756.0,1284400.0,1347268.0,1322932.0,1352.0,690561.0,1578900.0,1656183.0,1626267.0,1662.0,3610000.0,3786700.0,3718300.0,3800.0,3972049.0,3900301.0,3986.0,3829849.0,3914.0,4.0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,190000,6.0,1888.0,578.0,2.0,1517.0,1888.0,1966.0,2002.0,1966.0,2.0,36.0,11328.0,3468.0,12.0,9102.0,11328.0,11796.0,12012.0,11796.0,12.0,3564544.0,1091264.0,3776.0,2864096.0,3564544.0,3711808.0,3779776.0,3711808.0,3776.0,334084.0,1156.0,876826.0,1091264.0,1136348.0,1157156.0,1136348.0,1156.0,4.0,3034.0,3776.0,3932.0,4004.0,3932.0,4.0,2301289.0,2864096.0,2982422.0,3037034.0,2982422.0,3034.0,3564544.0,3711808.0,3779776.0,3711808.0,3776.0,3865156.0,3935932.0,3865156.0,3932.0,4008004.0,3935932.0,4004.0,3865156.0,3932.0,4.0
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,140000,6.0,1072.0,525.0,2.0,547.0,1072.0,2005.0,2006.0,2005.0,2.0,36.0,6432.0,3150.0,12.0,3282.0,6432.0,12030.0,12036.0,12030.0,12.0,1149184.0,562800.0,2144.0,586384.0,1149184.0,2149360.0,2150432.0,2149360.0,2144.0,275625.0,1050.0,287175.0,562800.0,1052625.0,1053150.0,1052625.0,1050.0,4.0,1094.0,2144.0,4010.0,4012.0,4010.0,4.0,299209.0,586384.0,1096735.0,1097282.0,1096735.0,1094.0,1149184.0,2149360.0,2150432.0,2149360.0,2144.0,4020025.0,4022030.0,4020025.0,4010.0,4024036.0,4022030.0,4012.0,4020025.0,4010.0,4.0
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,142000,5.0,1188.0,531.0,2.0,1188.0,1188.0,1959.0,1959.0,1959.0,1.0,25.0,5940.0,2655.0,10.0,5940.0,5940.0,9795.0,9795.0,9795.0,5.0,1411344.0,630828.0,2376.0,1411344.0,1411344.0,2327292.0,2327292.0,2327292.0,1188.0,281961.0,1062.0,630828.0,630828.0,1040229.0,1040229.0,1040229.0,531.0,4.0,2376.0,2376.0,3918.0,3918.0,3918.0,2.0,1411344.0,1411344.0,2327292.0,2327292.0,2327292.0,1188.0,1411344.0,2327292.0,2327292.0,2327292.0,1188.0,3837681.0,3837681.0,3837681.0,1959.0,3837681.0,3837681.0,1959.0,3837681.0,1959.0,1.0
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,112500,5.0,924.0,420.0,1.0,924.0,924.0,1952.0,1952.0,1952.0,1.0,25.0,4620.0,2100.0,5.0,4620.0,4620.0,9760.0,9760.0,9760.0,5.0,853776.0,388080.0,924.0,853776.0,853776.0,1803648.0,1803648.0,1803648.0,924.0,176400.0,420.0,388080.0,388080.0,819840.0,819840.0,819840.0,420.0,1.0,924.0,924.0,1952.0,1952.0,1952.0,1.0,853776.0,853776.0,1803648.0,1803648.0,1803648.0,924.0,853776.0,1803648.0,1803648.0,1803648.0,924.0,3810304.0,3810304.0,3810304.0,1952.0,3810304.0,3810304.0,1952.0,3810304.0,1952.0,1.0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,135000,5.0,2080.0,504.0,2.0,1040.0,1040.0,1969.0,1969.0,1969.0,1.0,25.0,10400.0,2520.0,10.0,5200.0,5200.0,9845.0,9845.0,9845.0,5.0,4326400.0,1048320.0,4160.0,2163200.0,2163200.0,4095520.0,4095520.0,4095520.0,2080.0,254016.0,1008.0,524160.0,524160.0,992376.0,992376.0,992376.0,504.0,4.0,2080.0,2080.0,3938.0,3938.0,3938.0,2.0,1081600.0,1081600.0,2047760.0,2047760.0,2047760.0,1040.0,1081600.0,2047760.0,2047760.0,2047760.0,1040.0,3876961.0,3876961.0,3876961.0,1969.0,3876961.0,3876961.0,1969.0,3876961.0,1969.0,1.0
