ms_subclass,ms_zoning,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice
60,rl,13517,pave,ir1,lvl,allpub,culdsac,gtl,sawyer,rrae,norm,1fam,2story,6,8,1976,2005,gable,compshg,hdboard,plywood,brkface,289.0,gd,ta,cblock,ta,ta,no,glq,533.0,unf,0.0,192.0,725.0,gasa,ex,y,sbrkr,725,754,0,1479,0.0,0.0,2,1,3,1,gd,6,typ,0,none,attchd,1976.0,rfn,2.0,475.0,ta,ta,y,0,44,0,0,0,0,0,3,2010,wd ,130500
60,rl,11492,pave,ir1,lvl,allpub,culdsac,gtl,sawyerw,norm,norm,1fam,2story,7,5,1996,1997,gable,compshg,vinylsd,vinylsd,brkface,132.0,gd,ta,pconc,gd,ta,no,glq,637.0,unf,0.0,276.0,913.0,gasa,ex,y,sbrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,gd,8,typ,1,ta,attchd,1997.0,rfn,2.0,559.0,ta,ta,y,0,74,0,0,0,0,0,4,2009,wd ,220000
20,rl,7922,pave,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,7,1953,2007,gable,compshg,vinylsd,vinylsd,none,0.0,ta,gd,cblock,ta,ta,no,glq,731.0,unf,0.0,326.0,1057.0,gasa,ta,y,sbrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,gd,5,typ,0,none,detchd,1953.0,unf,1.0,246.0,ta,ta,y,0,52,0,0,0,0,0,1,2010,wd ,109000
60,rl,9802,pave,reg,lvl,allpub,inside,gtl,timber,norm,norm,1fam,2story,5,5,2006,2007,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,384.0,384.0,gasa,gd,y,sbrkr,744,700,0,1444,0.0,0.0,2,1,3,1,ta,7,typ,0,none,builtin,2007.0,fin,2.0,400.0,ta,ta,y,100,0,0,0,0,0,0,4,2010,wd ,174000
50,rl,14235,pave,ir1,lvl,allpub,inside,gtl,sawyerw,norm,norm,1fam,1.5fin,6,8,1900,1993,gable,compshg,wd sdng,plywood,none,0.0,ta,ta,pconc,fa,gd,no,unf,0.0,unf,0.0,676.0,676.0,gasa,ta,y,sbrkr,831,614,0,1445,0.0,0.0,2,0,3,1,ta,6,typ,0,none,detchd,1957.0,unf,2.0,484.0,ta,ta,n,0,59,0,0,0,0,0,3,2010,wd ,138500
20,rl,16492,pave,ir1,lvl,allpub,corner,gtl,names,posa,norm,1fam,1story,6,6,1966,2002,gable,compshg,brkface,plywood,none,0.0,gd,ta,cblock,ta,ta,no,alq,247.0,rec,713.0,557.0,1517.0,gasa,ex,y,sbrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,gd,6,mod,1,gd,attchd,1966.0,fin,2.0,578.0,ta,ta,y,0,0,0,0,0,0,0,6,2010,wd ,190000
180,rm,3675,pave,reg,lvl,allpub,inside,gtl,edwards,norm,norm,twnhse,sfoyer,6,5,2005,2006,gable,compshg,vinylsd,vinylsd,brkface,82.0,ta,ta,pconc,gd,ta,gd,glq,547.0,unf,0.0,0.0,547.0,gasa,gd,y,sbrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,ta,5,typ,0,none,basment,2005.0,fin,2.0,525.0,ta,ta,y,0,44,0,0,0,0,0,6,2006,new,140000
20,rl,12160,pave,ir1,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,5,1959,1959,hip,compshg,plywood,plywood,brkface,180.0,ta,ta,cblock,ta,ta,no,rec,1000.0,unf,0.0,188.0,1188.0,gasa,fa,y,sbrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,ta,6,typ,0,none,attchd,1959.0,rfn,2.0,531.0,ta,ta,y,0,0,0,0,0,0,0,5,2010,cod,142000
20,rl,15783,pave,reg,lvl,allpub,inside,gtl,oldtown,artery,norm,1fam,1story,5,5,1952,1952,gable,compshg,wd sdng,wd sdng,none,0.0,ta,ta,cblock,ta,ta,no,rec,292.0,unf,0.0,632.0,924.0,gasa,ta,y,sbrkr,924,0,0,924,0.0,0.0,1,0,2,1,ta,6,typ,0,none,detchd,1952.0,unf,1.0,420.0,ta,ta,y,0,324,0,0,0,0,400,6,2007,wd ,112500
60,rl,11606,pave,ir1,hls,allpub,inside,sev,names,norm,norm,1fam,2story,5,5,1969,1969,gable,compshg,plywood,plywood,brkface,192.0,ta,ta,pconc,gd,ta,av,rec,650.0,unf,0.0,390.0,1040.0,gasa,ta,y,sbrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,fa,9,typ,2,ta,attchd,1969.0,unf,2.0,504.0,ta,ta,y,335,0,0,0,0,0,0,9,2007,wd ,135000
